0 0 0
0.01 0.0396 0.0358076
0.02 0.0784 0.071563
0.03 0.1164 0.107214
0.04 0.1536 0.14271
0.05 0.19 0.177998
0.06 0.2256 0.21303
0.07 0.2604 0.247754
0.08 0.2944 0.282121
0.09 0.3276 0.316085
0.1 0.36 0.349599
0.11 0.3916 0.382616
0.12 0.4224 0.415092
0.13 0.4524 0.446986
0.14 0.4816 0.478256
0.15 0.51 0.508863
0.16 0.5376 0.538769
0.17 0.5644 0.567939
0.18 0.5904 0.596338
0.19 0.6156 0.623935
0.2 0.64 0.650699
0.21 0.6636 0.676604
0.22 0.6864 0.701624
0.23 0.7084 0.725735
0.24 0.7296 0.748915
0.25 0.75 0.771145
0.26 0.7696 0.792409
0.27 0.7884 0.81269
0.28 0.8064 0.831977
0.29 0.8236 0.850257
0.3 0.84 0.867522
0.31 0.8556 0.883765
0.32 0.8704 0.898981
0.33 0.8844 0.913166
0.34 0.8976 0.926318
0.35 0.91 0.938439
0.36 0.9216 0.949529
0.37 0.9324 0.959592
0.38 0.9424 0.968633
0.39 0.9516 0.976658
0.4 0.96 0.983675
0.41 0.9676 0.989691
0.42 0.9744 0.994718
0.43 0.9804 0.998766
0.44 0.9856 1.00185
0.45 0.99 1.00397
0.46 0.9936 1.00516
0.47 0.9964 1.00542
0.48 0.9984 1.00477
0.49 0.9996 1.00322
0.5 1 1.00079
0.51 0.9996 0.997506
0.52 0.9984 0.993373
0.53 0.9964 0.988411
0.54 0.9936 0.98264
0.55 0.99 0.976076
0.56 0.9856 0.968738
0.57 0.9804 0.960644
0.58 0.9744 0.951812
0.59 0.9676 0.942261
0.6 0.96 0.932008
0.61 0.9516 0.921072
0.62 0.9424 0.909471
0.63 0.9324 0.897222
0.64 0.9216 0.884343
0.65 0.91 0.870852
0.66 0.8976 0.856765
0.67 0.8844 0.842101
0.68 0.8704 0.826874
0.69 0.8556 0.811102
0.7 0.84 0.794801
0.71 0.8236 0.777985
0.72 0.8064 0.760671
0.73 0.7884 0.742873
0.74 0.7696 0.724606
0.75 0.75 0.705883
0.76 0.7296 0.686718
0.77 0.7084 0.667124
0.78 0.6864 0.647113
0.79 0.6636 0.626699
0.8 0.64 0.605893
0.81 0.6156 0.584706
0.82 0.5904 0.563149
0.83 0.5644 0.541232
0.84 0.5376 0.518966
0.85 0.51 0.49636
0.86 0.4816 0.473422
0.87 0.4524 0.450162
0.88 0.4224 0.426588
0.89 0.3916 0.402707
0.9 0.36 0.378527
0.91 0.3276 0.354054
0.92 0.2944 0.329295
0.93 0.2604 0.304256
0.94 0.2256 0.278942
0.95 0.19 0.253358
0.96 0.1536 0.22751
0.97 0.1164 0.201401
0.98 0.0784 0.175035
0.99 0.0396 0.148417
