5 2.0154
6 2.87038
7 3.1453
8 3.86902
9 4.54178
10 4.69156
11 4.80306
12 5.02871
13 5.90002
14 6.67183
15 5.66019
16 7.41699
17 7.28239
18 8.72098
19 9.40889
20 11.1243
21 11.9902
22 12.5182
23 13.7642
24 10.0944
25 13.2801
26 14.2519
27 14.2278
28 15.1998
29 15.5195
30 15.6212
31 9.96389
32 10.066
33 16.8758
34 9.63381
35 17.4243
36 18.6728
37 17.4854
38 18.8682
39 18.2257
40 17.9301
41 18.6894
42 19.4102
43 18.6156
44 19.3059
45 14.0618
46 20.3899
47 20.3654
48 21.5102
49 22.4688
50 23.6941
51 16.6179
52 29.119
53 30.1133
54 20.07
55 31.5808
56 19.9561
57 31.0999
58 32.8614
59 32.219
60 33.1742
61 20.8396
62 35.2455
63 35.4291
64 36.2435
65 36.2324
66 36.7574
67 23.2688
68 38.6397
69 38.648
70 22.9886
71 23.7977
72 40.1705
73 39.9301
74 40.7701
75 25.1414
76 41.0607
77 41.7328
78 42.3794
79 42.4184
80 42.4189
81 42.8798
82 43.6952
83 44.8508
84 28.0391
85 46.2121
86 28.1331
87 46.5699
88 46.8279
89 39.0107
90 40.0381
91 40.5637
92 39.9472
93 40.594
94 42.0948
95 42.4423
96 42.8834
97 43.4797
98 45.3462
99 45.4153
100 47.0773
